ID,Education,JoiningYear,City,Age,ExperienceInCurrentDomain,PersonalityType,ProjectDescription,SoftSkill
162,Bachelors,2013,Bangalore,26,4,3,Project related to creating a responsive design using technology CSS and framework Django.,"['Time management', 'Emotional intelligence', 'Assertiveness']"
163,Masters,2017,New Delhi,24,2,7,Project related to preparing data analysis using technology Python and framework Spring.,"['Strategic thinking', 'Persuasion', 'Stress management']"
164,Bachelors,2016,Bangalore,25,3,2,Project related to developing an API using technology Java and framework Django.,"['Conflict management', 'Flexibility', 'Empathy', 'Creativity', 'Problem-solving', 'Risk management']"
165,Bachelors,2015,Bangalore,25,3,5,Project related to enhancing system performance using technology PHP and framework Django.,"['Critical assessment skills', 'Interpersonal communication', 'Networking', 'Creativity', 'Persuasion', 'Adaptability to change']"
166,Bachelors,2014,Bangalore,27,5,6,Project related to integrating various systems using technology Ruby and framework Django.,"['Empathy', 'Assertiveness', 'Creativity', 'Ability to work in a diverse environment']"
167,Bachelors,2012,Bangalore,24,2,4,Project related to creating a responsive design using technology C# and framework Vue.,"['Ability to work in a diverse environment', 'Data analysis', 'Interpersonal communication', 'Adaptability to change', 'Teamwork', 'Time management']"
168,Bachelors,2014,Bangalore,25,3,1,Project related to writing technical documentation using technology C# and framework Ruby on Rails.,"['Negotiation', 'Team management', 'Change management']"
169,Bachelors,2015,Bangalore,28,3,4,Project related to creating a responsive design using technology Java and framework Flask.,"['Empathy', 'Leadership', 'Negotiation', 'Risk management', 'Teamwork']"
170,Masters,2015,New Delhi,26,4,1,Project related to optimizing existing software using technology SQL and framework Django.,"['Problem-solving', 'Strategic thinking', 'Change management']"
171,Bachelors,2014,New Delhi,28,1,6,Project related to implementing a data management system using technology Ruby and framework Ruby on Rails.,"['Project management', 'Flexibility', 'Assertiveness', 'Change management', 'Teamwork', 'Stress management']"
172,Bachelors,2015,Pune,25,3,4,Project related to integrating various systems using technology JavaScript and framework Vue.,"['Teamwork', 'Listening skills', 'Critical thinking']"
173,Masters,2015,Pune,28,2,6,Project related to developing an API using technology Java and framework Ruby on Rails.,"['Interpersonal communication', 'Stress management', 'Presentation skills']"
174,Bachelors,2014,Bangalore,27,5,2,Project related to preparing data analysis using technology HTML and framework Spring.,"['Team management', 'Networking', 'Change management', 'Collaboration', 'Assertiveness']"
175,Bachelors,2013,Bangalore,26,4,2,Project related to preparing data analysis using technology HTML and framework Spring.,"['Project management', 'Adaptability to change', 'Persuasion', 'Leadership', 'Change management', 'Flexibility']"
176,Bachelors,2016,Bangalore,26,4,1,Project related to creating a web application using technology JavaScript and framework Ruby on Rails.,"['Project management', 'Problem-solving', 'Collaboration', 'Data analysis']"
177,Bachelors,2012,Bangalore,25,3,4,Project related to preparing data analysis using technology HTML and framework Spring.,"['Creativity', 'Decision-making', 'Teamwork', 'Collaboration', 'Adaptability to change', 'Change management']"
178,Bachelors,2015,Bangalore,25,3,2,Project related to deploying applications to the cloud using technology C# and framework Ruby on Rails.,"['Networking', 'Persuasion', 'Time management', 'Presentation skills', 'Risk management']"
179,Bachelors,2014,New Delhi,24,2,7,Project related to creating a responsive design using technology CSS and framework Vue.,"['Negotiation', 'Change management', 'Interpersonal communication']"
180,Bachelors,2012,Bangalore,27,5,4,Project related to designing a database schema using technology Java and framework Vue.,"['Critical assessment skills', 'Emotional intelligence', 'Conflict management', 'Decision-making', 'Flexibility']"
181,Masters,2017,New Delhi,27,5,2,Project related to creating user interfaces using technology CSS and framework Ruby on Rails.,"['Negotiation', 'Time management', 'Interpersonal communication', 'Data analysis', 'Motivation']"
182,Bachelors,2015,Pune,27,5,4,Project related to optimizing existing software using technology CSS and framework Ruby on Rails.,"['Motivation', 'Emotional intelligence', 'Adaptability to change', 'Teamwork', 'Creativity']"
183,Bachelors,2018,Bangalore,24,2,1,Project related to implementing a data management system using technology Ruby and framework Django.,"['Critical assessment skills', 'Project management', 'Leadership', 'Time management', 'Strategic thinking', 'Change management']"
184,Masters,2017,New Delhi,27,5,5,Project related to creating a responsive design using technology PHP and framework Flask.,"['Empathy', 'Project management', 'Negotiation']"
185,Masters,2017,New Delhi,28,1,8,Project related to creating a data visualization dashboard using technology Ruby and framework Angular.,"['Assertiveness', 'Adaptability to change', 'Flexibility']"
186,Masters,2017,Pune,24,2,8,Project related to developing a chatbot using technology HTML and framework Spring.,"['Creativity', 'Leadership', 'Problem-solving', 'Critical thinking', 'Conflict management']"
187,Masters,2016,New Delhi,25,3,5,Project related to optimizing existing software using technology PHP and framework Flask.,"['Leadership', 'Flexibility', 'Critical thinking', 'Motivation']"
188,PHD,2015,New Delhi,28,1,6,Project related to preparing data analysis using technology HTML and framework Ruby on Rails.,"['Motivation', 'Emotional intelligence', 'Conflict management', 'Ability to work in a diverse environment', 'Collaboration', 'Negotiation']"
189,Bachelors,2017,New Delhi,26,4,4,Project related to deploying applications to the cloud using technology Python and framework Angular.,"['Problem-solving', 'Conflict management', 'Presentation skills', 'Decision-making', 'Ability to work in a diverse environment', 'Stress management']"
190,Bachelors,2013,Bangalore,27,5,8,Project related to creating user interfaces using technology C# and framework Django.,"['Decision-making', 'Networking', 'Interpersonal communication', 'Persuasion']"
191,Bachelors,2015,Bangalore,26,4,1,Project related to creating a data visualization dashboard using technology C# and framework Flask.,"['Creativity', 'Emotional intelligence', 'Motivation', 'Organization']"
192,Bachelors,2015,Bangalore,26,4,7,Project related to integrating various systems using technology C# and framework Django.,"['Interpersonal communication', 'Critical assessment skills', 'Stress management', 'Risk management', 'Organization', 'Flexibility']"
193,Bachelors,2013,Bangalore,28,1,1,Project related to creating a responsive design using technology Python and framework Vue.,"['Risk management', 'Ability to work in a diverse environment', 'Leadership', 'Emotional intelligence']"
194,Bachelors,2015,Bangalore,27,5,1,Project related to building a content management system using technology JavaScript and framework React.,"['Listening skills', 'Strategic thinking', 'Critical thinking', 'Time management', 'Empathy']"
195,Bachelors,2013,New Delhi,25,3,1,Project related to building a machine learning model using technology HTML and framework Ruby on Rails.,"['Conflict management', 'Listening skills', 'Ability to work in a diverse environment']"
196,Bachelors,2013,Pune,28,1,4,Project related to deploying applications to the cloud using technology Ruby and framework Spring.,"['Data analysis', 'Conflict management', 'Empathy', 'Ability to work in a diverse environment']"
197,Bachelors,2017,Pune,24,2,4,Project related to creating user interfaces using technology CSS and framework Ruby on Rails.,"['Empathy', 'Negotiation', 'Presentation skills']"
198,Bachelors,2013,New Delhi,27,5,7,Project related to writing technical documentation using technology PHP and framework Flask.,"['Data analysis', 'Persuasion', 'Teamwork', 'Ability to work in a diverse environment', 'Flexibility']"
199,Bachelors,2015,Bangalore,28,2,7,Project related to implementing security measures using technology JavaScript and framework Ruby on Rails.,"['Empathy', 'Decision-making', 'Flexibility']"
200,Bachelors,2015,Pune,28,3,5,Project related to creating a web application using technology C# and framework Vue.,"['Creativity', 'Organization', 'Teamwork']"
201,Bachelors,2014,Pune,25,3,2,Project related to creating a responsive design using technology JavaScript and framework Vue.,"['Time management', 'Assertiveness', 'Problem-solving', 'Negotiation', 'Project management', 'Strategic thinking']"
202,Bachelors,2014,Bangalore,25,3,5,Project related to creating a data visualization dashboard using technology SQL and framework Vue.,"['Listening skills', 'Organization', 'Ability to work in a diverse environment', 'Emotional intelligence', 'Conflict management']"
203,Bachelors,2017,Bangalore,27,5,4,Project related to enhancing system performance using technology Java and framework Angular.,"['Empathy', 'Stress management', 'Motivation', 'Creativity']"
204,Bachelors,2014,Pune,26,4,5,Project related to developing a chatbot using technology JavaScript and framework React.,"['Teamwork', 'Motivation', 'Persuasion', 'Empathy', 'Problem-solving', 'Creativity']"
205,PHD,2013,New Delhi,24,2,1,Project related to creating user interfaces using technology Python and framework Flask.,"['Listening skills', 'Problem-solving', 'Risk management', 'Emotional intelligence']"
